0	819893	820786	804444	803362	818090	802201	819994	824934	807480	805361	819970	805189
0	818899	817882	800942	800262	812407	800569	821848	822229	805489	803701	816193	804360
0	821489	822750	805478	804298	817610	802999	820971	819674	804730	804767	819279	805009
0	819970	820054	804890	805119	819103	805862	821233	821474	804491	804075	816504	803685
0	818944	818969	802599	802133	814848	803265	820981	822187	805032	804925	817072	803477
0	821005	817156	801795	801352	815180	801866	818252	820982	802869	802535	817076	802181
0	818415	819456	803543	803019	817274	802429	822714	821490	805474	805087	820175	805653
0	817127	818793	800159	799231	811149	798681	822071	824071	805919	803813	819264	804166
0	818584	819454	801068	801521	812660	801358	822677	821927	804790	805885	817479	805828
0	818698	819714	803441	802579	814001	801816	820404	820063	805305	804766	817064	803933
0	818885	817440	800481	801411	813706	799851	820331	823010	805658	804674	817128	803561
0	821697	817440	803237	801170	814201	801938	820622	823712	805492	804556	818391	804786
0	818385	818902	801526	801513	813845	802085	820620	820851	803299	802644	817411	801064
0	820222	820995	803707	802104	814362	802907	821194	821121	803696	802267	813786	803405
0	820227	818087	803587	801260	815516	800246	822953	821722	804345	803193	815150	805036
0	819149	821614	806433	805322	817980	806408	816498	820274	802374	803355	816682	804014
0	816663	818210	802384	802033	818070	803244	821143	823004	805881	804705	816963	805342
0	819898	817541	801449	800603	811359	800892	818993	817743	802382	801516	815426	802759
0	818099	817673	800631	799019	814501	798934	820294	819329	803310	803038	817352	803150
0	821014	821842	803285	802333	814148	802898	820724	820652	804026	802311	817809	803008
0	816348	819644	802202	801069	816283	800870	820198	822261	803694	802170	819234	803904
0	819059	817517	801832	800997	813389	800730	818917	821033	803911	801680	815117	801925
0	817317	818538	801352	802021	812289	800296	819160	824273	806125	805663	817238	805363
0	821075	821898	803746	802604	816341	801802	817992	818843	802916	802327	813864	802132
0	819169	818946	804402	801796	815773	802770	820902	820065	804911	804987	817661	805175
0	820763	819153	803768	801660	815158	803924	822380	820659	806602	804778	818533	803343
0	818707	818938	803755	801886	815227	803548	818653	822160	804330	802391	817120	802806
0	819994	818447	803837	802648	815221	802997	819845	822856	804772	804644	817995	802925
0	820168	815543	801402	800233	813339	803244	817804	818636	801794	801027	815537	801031
0	814202	818349	800864	799034	813780	800405	821167	820371	804823	805332	818614	804534
0	816543	819544	803945	801974	816227	801385	822169	821774	806237	802770	818403	804630
0	818843	818555	804835	803865	816482	804463	821958	818764	805717	805038	817821	804066
0	820274	822776	805887	804712	818358	803613	820565	819342	805495	805906	816507	803839
0	818710	817024	803926	803088	817109	801780	821063	819463	804347	804028	816922	802912
0	821214	817903	803502	802648	814755	803364	817113	819669	803452	802087	814155	803169
0	817914	817330	800731	802114	812314	799811	819054	819383	802308	801063	813944	801123
